Textbox129,Textbox141,Textbox35,qq7,Textbox38,Textbox128,all val mo_label,all val mo_Chart8_CategoryGroup_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_Value_Y,stat_year7,gen_qty_mo16,gen_qty_mo17,gen_qty_yr7
,,,,,,all qty mo,2019,,5352.5084648139,,,,
,,,,,,all qty mo,2020,,2817.30709006415,,,,
,,,,,,all qty mo,2020,,2900.39931668163,,,,
,,,,,,all qty mo,2020,,2308.59482931779,,,,
,,,,,,all qty mo,2020,,3003.6616356664,,,,
,,,,,,all qty mo,2020,,3477.03379578453,,,,
,,,,,,all qty mo,2020,,3878.50218909106,,,,
,,,,,,all qty mo,2020,,2966.53138146923,,,,
,,,,,,all qty mo,2020,,2399.44512294155,,,,
,,,,,,all qty mo,2020,,5184.03561329746,,,,
,,,,,,all qty mo,2020,,6956.96226107154,,,,
,,,,,,all qty mo,2020,,3642.0586175204,,,,
,,,,,,all qty mo,2020,,3483.49113544392,,,,
,,,,,,all qty mo,2021,,3119.26102284304,,,,
,,,,,,all qty mo,2021,,3195.67765216157,,,,
,,,,,,all qty mo,2021,,3150.86428812725,,,,
,,,,,,all qty mo,2021,,3451.09200139323,,,,
,,,,,,all qty mo,2021,,3256.03801492516,,,,
,,,,,,all qty mo,2021,,3267.2926134097,,,,
,,,,,,all qty mo,2021,,3912.91193897287,,,,
,,,,,,all qty mo,2021,,2472.92739955039,,,,
,,,,,,all qty mo,2021,,4971.93548471726,,,,
,,,,,,all qty mo,2021,,5565.26557093542,,,,
,,,,,,all qty mo,2021,,3798.51407112514,,,,
,,,,,,all qty mo,2021,,3665.98979608056,,,,
,,,,,,all qty mo,2022,,2953.45356007642,,,,
,,,,,,all qty mo,2022,,2785.27171874606,,,,
,,,,,,all qty mo,2022,,2624.8281028184,,,,
,,,,,,all qty mo,2022,,2784.93661610754,,,,
,,,,,,all qty mo,2022,,3347.0470413777,,,,
,,,,,,all qty mo,2022,,4926.22483927585,,,,
,,,,,,all qty mo,2022,,3772.85667305206,,,,
,,,,,,all qty mo,2022,,2256.83690402464,,,,
,,,,,,all qty mo,2022,,4664.32889953594,,,,
,,,,,,all qty mo,2022,,6195.89787191526,,,,
,,,,,,all qty mo,2022,,2820.06948220932,,,,
,,,,,,all qty mo,2022,,2977.01656665874,,,,
,,,,,,all qty mo,2023,,2554.56016599221,,,,
,,,,,,all qty mo,2023,,2607.6651157073,,,,
,,,,,,all qty mo,2023,,2907.41883510959,,,,
,,,,,,all qty mo,2023,,2370.68361621691,,,,
,,,,,,all qty mo,2023,,2952.4019550858,,,,
,,,,,,all qty mo,2023,,3646.95949360877,,,,
,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2023,"2,555","8,070","17,040"
,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2023,"2,608","8,070","17,040"
,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2023,"2,907","8,070","17,040"
,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2023,"2,371","8,970","17,040"
,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2023,"2,952","8,970","17,040"
,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2023,"3,647","8,970","17,040"
,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2023,NA,,"17,040"
,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2023,NA,,"17,040"
,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2023,NA,,"17,040"
,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2023,NA,,"17,040"
,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2023,NA,,"17,040"
,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2023,NA,,"17,040"
,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2022,"2,953","8,364","42,109"
,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2022,"2,785","8,364","42,109"
,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2022,"2,625","8,364","42,109"
,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2022,"2,785","11,058","42,109"
,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2022,"3,347","11,058","42,109"
,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2022,"4,926","11,058","42,109"
,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2022,"3,773","10,694","42,109"
,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2022,"2,257","10,694","42,109"
,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2022,"4,664","10,694","42,109"
,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2022,"6,196","11,993","42,109"
,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2022,"2,820","11,993","42,109"
,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2022,"2,977","11,993","42,109"
,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2021,"3,119","9,466","43,828"
,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2021,"3,196","9,466","43,828"
,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2021,"3,151","9,466","43,828"
,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2021,"3,451","9,974","43,828"
,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2021,"3,256","9,974","43,828"
,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2021,"3,267","9,974","43,828"
,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2021,"3,913","11,358","43,828"
,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2021,"2,473","11,358","43,828"
,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2021,"4,972","11,358","43,828"
,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2021,"5,565","13,030","43,828"
,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2021,"3,799","13,030","43,828"
,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2021,"3,666","13,030","43,828"
,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2020,"2,817","8,026","43,018"
,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2020,"2,900","8,026","43,018"
,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2020,"2,309","8,026","43,018"
,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2020,"3,004","10,359","43,018"
,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2020,"3,477","10,359","43,018"
,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2020,"3,879","10,359","43,018"
,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2020,"2,967","10,550","43,018"
,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2020,"2,399","10,550","43,018"
,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2020,"5,184","10,550","43,018"
,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2020,"6,957","14,083","43,018"
,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2020,"3,642","14,083","43,018"
,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2020,"3,483","14,083","43,018"
,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2019,"3,300","10,950","55,214"
,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2019,"3,754","10,950","55,214"
,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2019,"3,895","10,950","55,214"
,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2019,"3,908","16,372","55,214"
,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2019,"7,668","16,372","55,214"
,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2019,"4,796","16,372","55,214"
,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2019,"4,382","11,762","55,214"
,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2019,"2,484","11,762","55,214"
,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2019,"4,896","11,762","55,214"
,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2019,"4,958","16,131","55,214"
,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2019,"5,820","16,131","55,214"
,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2019,"5,353","16,131","55,214"

Textbox158,Textbox155,Textbox60,qq8,Textbox64,Textbox156,all qty mo_label,all qty mo_Chart9_CategoryGroup_label,all qty mo_Chart9_CategoryGroup_Chart9_CategoryGroup1_label,all qty mo_Chart9_CategoryGroup_Chart9_CategoryGroup1_Value_Y,stat_year8,gen_qty_mo18,gen_qty_mo19,gen_qty_yr8
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.469632991999662,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.394433927527668,,,,
